順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,岡本　和真,巨人,.297,83,349,296,88,20,51,0,44,5,64,0,7,.393,.557,.950,7.71,7.64
2,浅村　栄斗,楽天,.271,83,345,306,83,18,50,1,37,1,62,0,6,.351,.490,.841,6.13,6.09
3,村上　宗隆,ヤクルト,.242,83,351,293,71,16,49,1,50,5,109,0,2,.359,.451,.809,5.81,5.96
3,牧　秀悟,DeNA,.283,83,350,325,92,16,56,1,18,4,60,0,9,.326,.498,.824,5.43,5.37
5,万波　中正,日本ハム,.262,83,335,309,81,15,42,1,19,3,77,2,6,.309,.482,.792,5.06,5.01
6,柳田　悠岐,ソフトバンク,.305,82,357,302,92,14,48,1,44,8,56,0,4,.403,.510,.913,7.85,7.69
6,オスナ,ヤクルト,.248,83,334,298,74,14,43,1,33,1,57,0,9,.323,.436,.760,4.61,4.63
8,宮﨑　敏郎,DeNA,.347,75,269,236,82,13,48,0,24,5,26,0,9,.413,.602,1.014,8.68,8.31
9,近藤　健介,ソフトバンク,.289,82,356,287,83,12,49,1,63,2,66,0,5,.416,.484,.900,7.54,7.46
9,細川　成也,中日,.285,81,334,302,86,12,49,0,27,5,100,0,9,.353,.487,.840,5.89,5.65
9,森　友哉,オリックス,.286,63,259,227,65,12,38,2,27,4,40,0,3,.371,.524,.895,7.09,6.90
9,ポランコ,ロッテ,.237,62,236,211,50,12,37,0,22,0,50,0,1,.305,.436,.741,4.81,5.06
13,大城　卓三,巨人,.265,80,300,272,72,11,34,0,13,4,72,9,6,.306,.426,.732,4.30,4.32
13,頓宮　裕真,オリックス,.318,73,291,258,82,11,34,0,28,4,45,0,9,.392,.504,.896,6.98,6.73
13,丸　佳浩,巨人,.235,77,286,260,61,11,25,2,25,0,40,1,3,.302,.400,.702,4.15,4.20
13,杉本　裕太郎,オリックス,.246,63,245,224,55,11,25,0,14,7,67,0,2,.310,.438,.748,4.75,4.75
13,マルティネス,日本ハム,.252,67,238,206,52,11,31,0,23,8,57,0,5,.349,.456,.805,5.24,5.32
13,中田　翔,巨人,.272,63,223,206,56,11,23,0,14,1,44,0,8,.318,.471,.789,4.84,4.89
19,大山　悠輔,阪神,.281,84,361,299,84,10,48,1,54,3,68,0,8,.391,.448,.839,6.44,6.41
19,外崎　修汰,西武,.262,81,349,302,79,10,30,18,38,5,70,2,6,.352,.421,.772,5.64,5.62
19,マキノン,西武,.258,83,342,310,80,10,30,0,32,0,59,0,6,.327,.406,.734,4.63,4.59
19,栗原　陵矢,ソフトバンク,.238,82,338,307,73,10,43,0,25,3,76,1,4,.300,.378,.678,3.88,3.97
19,佐藤　輝明,阪神,.214,74,299,262,56,10,42,5,33,3,74,0,2,.308,.412,.720,4.41,4.46
19,坂本　勇人,巨人,.270,63,250,222,60,10,28,2,25,0,41,3,2,.344,.468,.813,5.93,5.75
25,サンタナ,ヤクルト,.295,82,305,278,82,9,33,2,25,0,69,0,8,.351,.457,.808,5.64,5.49
25,石川　昂弥,中日,.251,71,277,255,64,9,30,0,19,1,46,0,7,.303,.416,.719,4.18,4.19
25,ゴンザレス,オリックス,.228,59,230,219,50,9,26,1,9,2,65,0,3,.265,.397,.662,3.52,3.57
25,山田　哲人,ヤクルト,.234,56,230,209,49,9,25,4,17,1,57,0,5,.291,.421,.712,4.16,4.33
25,デビッドソン,広島,.200,62,217,200,40,9,22,0,11,4,73,0,5,.253,.385,.638,2.88,3.10
25,中村　剛也,西武,.283,52,189,159,45,9,23,1,24,4,37,0,4,.386,.491,.877,6.86,6.86
31,佐野　恵太,DeNA,.270,83,366,333,90,8,38,0,29,3,49,0,4,.333,.399,.733,4.80,4.69
31,中村　奨吾,ロッテ,.225,78,336,285,64,8,28,2,37,3,52,8,12,.317,.351,.668,3.43,3.56
31,西川　龍馬,広島,.327,80,324,303,99,8,40,7,17,1,26,0,8,.361,.455,.817,5.77,5.59
31,野村　佑希,日本ハム,.231,76,292,264,61,8,32,3,22,3,73,0,2,.295,.367,.662,3.84,4.00
31,坂倉　将吾,広島,.281,74,268,235,66,8,31,1,30,2,43,0,7,.366,.430,.795,5.61,5.50
31,秋広　優人,巨人,.299,65,249,231,69,8,25,0,13,1,46,1,4,.335,.468,.802,5.62,5.53
31,山口　航輝,ロッテ,.224,59,239,210,47,8,36,0,20,4,63,0,2,.297,.386,.683,4.03,4.31
38,安田　尚憲,ロッテ,.260,73,288,254,66,7,32,0,30,1,59,0,3,.337,.406,.742,5.03,5.03
39,中川　圭太,オリックス,.248,81,336,302,75,6,30,2,28,2,57,3,8,.315,.381,.696,4.00,3.96
39,紅林　弘太郎,オリックス,.289,69,255,235,68,6,22,1,16,0,34,2,9,.332,.426,.758,4.44,4.38
39,辰己　涼介,楽天,.227,73,253,216,49,6,20,8,23,10,50,4,2,.329,.352,.681,4.22,4.27
39,ソト,DeNA,.230,66,227,196,45,6,25,0,28,3,51,0,8,.335,.388,.723,4.11,4.08
39,フランコ,楽天,.230,62,224,204,47,6,17,0,19,1,31,0,8,.299,.348,.647,3.20,3.26
39,ブリンソン,巨人,.242,59,203,194,47,6,23,1,7,1,49,0,2,.271,.392,.663,3.48,3.51
39,内山　壮真,ヤクルト,.222,55,168,153,34,6,19,1,10,1,26,3,5,.273,.373,.645,3.09,3.24
39,ウォーカー,巨人,.282,48,105,103,29,6,20,1,2,0,33,0,1,.295,.534,.829,5.53,5.45
47,ノイジー,阪神,.238,79,326,298,71,5,30,0,23,2,61,0,9,.294,.315,.610,2.95,3.10
47,甲斐　拓也,ソフトバンク,.209,80,245,220,46,5,25,0,13,0,71,11,2,.252,.336,.589,2.64,2.72
47,小郷　裕哉,楽天,.279,65,226,201,56,5,27,7,19,0,39,4,1,.338,.413,.751,4.95,4.96
47,岡島　豪郎,楽天,.262,61,221,195,51,5,23,2,21,1,30,2,2,.333,.395,.728,4.72,4.73
